departure,arrival,time_of_year,price
ATL,MIA,2026.5,184.64459999999983
ATL,BUR,2026.5,332.182
ATL,LAX,2026.5,329.7775000000003
ATL,LGB,2026.5,242.13929999999985
ATL,ONT,2026.5,330.5817999999999
ATL,SNA,2026.5,436.3070000000007
ATL,TPA,2026.5,198.16409999999996
ATL,ORF,2026.5,270.99730000000034
ATL,PHF,2026.5,247.49500000000015
AUS,DAL,2026.5,190.6660999999999
AUS,DFW,2026.5,213.94310000000004
AUS,PHX,2026.5,247.31150000000028
AUS,BOS,2026.5,237.8320000000002
AUS,MHT,2026.5,300.5354999999995
AUS,PVD,2026.5,277.4491999999997
AUS,BWI,2026.5,249.0438999999997
AUS,DCA,2026.5,268.9219000000002
AUS,IAD,2026.5,264.7686999999998
AUS,MDW,2026.5,212.89530000000005
AUS,ORD,2026.5,249.43840000000012
AUS,EWR,2026.5,264.93130000000014
AUS,HPN,2026.5,248.64940000000016
AUS,ISP,2026.5,276.0275999999998
AUS,JFK,2026.5,267.4170999999998
AUS,LGA,2026.5,234.2213999999998
AUS,SWF,2026.5,105.8936999999999
AUS,OAK,2026.5,242.89690000000047
AUS,SFO,2026.5,302.8696000000004
AUS,SJC,2026.5,274.08330000000007
AUS,FLL,2026.5,180.30289999999977
AUS,MIA,2026.5,238.67789999999997
AUS,BUR,2026.5,238.14810000000045
AUS,LAX,2026.5,225.0076
AUS,LGB,2026.5,178.5742000000002
AUS,ONT,2026.5,227.00219999999987
AUS,SNA,2026.5,256.80999999999995
AUS,TPA,2026.5,232.04599999999988
AVL,EWR,2026.5,173.44559999999976
AVL,HPN,2026.5,251.70570000000004
AVL,ISP,2026.5,275.56220000000013
AVL,JFK,2026.5,282.36469999999986
AVL,LGA,2026.5,239.7934000000002
AVL,FLL,2026.5,109.75529999999988
AVL,MIA,2026.5,324.6592000000003
AVL,PIE,2026.5,100.84830000000002
AVL,TPA,2026.5,281.1746000000001
TUS,BWI,2026.5,376.7393999999998
TUS,DCA,2026.5,372.0431999999995
TUS,IAD,2026.5,410.7761000000005
AZA,PIT,2026.5,101.58309999999992
PHX,PIT,2026.5,318.4127999999995
PHX,SEA,2026.5,198.42309999999983
PHX,BWI,2026.5,260.8452999999997
PHX,DCA,2026.5,332.7690999999996
PHX,IAD,2026.5,318.4596000000004
PHX,STL,2026.5,276.0649
AZA,FSD,2026.5,132.55779999999973
PHX,FSD,2026.5,301.2837999999995
PHX,GEG,2026.5,251.05939999999973
AZA,OAK,2026.5,106.96819999999988
PHX,OAK,2026.5,167.20929999999993
PHX,SFO,2026.5,169.34180000000023
PHX,SJC,2026.5,206.14210000000023
PHX,SMF,2026.5,219.9694000000002
PHX,TPA,2026.5,308.3744000000005
PHX,SAT,2026.5,238.0602000000003
AZA,SAN,2026.5,118.43600000000016
PHX,SAN,2026.5,174.42259999999987
PHX,PDX,2026.5,226.80589999999964
PHX,RDU,2026.5,327.3499999999996
PHX,RNO,2026.5,219.24449999999996
PHX,SLC,2026.5,194.81819999999988
PHX,TUL,2026.5,257.8294999999999
BDL,PHX,2026.5,260.81049999999976
BDL,BWI,2026.5,205.15810000000016
BDL,DCA,2026.5,225.63119999999992
BDL,IAD,2026.5,225.2630000000002
BDL,OAK,2026.5,310.4422999999999
BDL,SFO,2026.5,370.35330000000016
BDL,SJC,2026.5,395.11349999999993
BDL,FLL,2026.5,184.9812999999999
BDL,MIA,2026.5,210.55409999999995
BDL,BUR,2026.5,370.8622999999997
BDL,LAX,2026.5,326.1642000000004
BDL,LGB,2026.5,229.34619999999973
BDL,ONT,2026.5,368.4073999999995
BDL,SNA,2026.5,457.6983999999999
BDL,TPA,2026.5,175.8879999999998
SEA,BWI,2026.5,309.33329999999984
SEA,DCA,2026.5,378.9996999999999
SEA,IAD,2026.5,304.74639999999965
SEA,TPA,2026.5,297.20889999999974
BHM,DAL,2026.5,211.60449999999997
BHM,DFW,2026.5,286.5084999999997
BHM,BWI,2026.5,220.8980000000001
BHM,DCA,2026.5,272.9596
BHM,IAD,2026.5,305.61780000000044
BHM,MDW,2026.5,199.18859999999984
BHM,ORD,2026.5,268.4153
BHM,HOU,2026.5,207.75209999999996
BHM,IAH,2026.5,246.36709999999985
BHM,EWR,2026.5,293.48400000000026
BHM,HPN,2026.5,322.87639999999993
BHM,ISP,2026.5,259.1912
BHM,JFK,2026.5,325.2015000000001
BHM,LGA,2026.5,299.9936
BHM,SWF,2026.5,105.8936999999999
BHM,FLL,2026.5,207.04840000000004
BHM,MIA,2026.5,249.78369999999995
BHM,BUR,2026.5,350.73539999999986
BHM,LAX,2026.5,413.45669999999984
BHM,LGB,2026.5,292.6849999999997
BHM,ONT,2026.5,340.0835000000001
BHM,SNA,2026.5,404.98180000000025
BHM,TPA,2026.5,210.2626
ELP,PHX,2026.5,190.4101
ELP,BWI,2026.5,360.5029999999999
ELP,DCA,2026.5,339.9702999999998
ELP,IAD,2026.5,404.16559999999976
ELP,HOU,2026.5,197.0652000000001
ELP,IAH,2026.5,258.4281000000002
ELP,EWR,2026.5,464.1891000000001
ELP,HPN,2026.5,319.81330000000025
ELP,ISP,2026.5,428.62899999999934
ELP,JFK,2026.5,431.7704999999997
ELP,LGA,2026.5,389.17579999999975
ELP,BUR,2026.5,240.50469999999976
ELP,LAX,2026.5,216.51160000000016
ELP,LGB,2026.5,171.05540000000028
ELP,ONT,2026.5,260.1356000000003
ELP,SNA,2026.5,251.91599999999988
CAK,DFW,2026.5,336.41600000000005
CLE,DAL,2026.5,235.64160000000012
CLE,DFW,2026.5,270.8370000000001
CAK,DEN,2026.5,328.3515999999997
CLE,DEN,2026.5,220.76759999999987
CAK,PHX,2026.5,336.9115999999998
CLE,PHX,2026.5,219.4703000000001
CAK,SEA,2026.5,326.2770999999996
CLE,SEA,2026.5,282.01499999999965
CAK,BNA,2026.5,131.87189999999998
CLE,BNA,2026.5,206.88449999999975
CAK,DCA,2026.5,214.24989999999997
CAK,IAD,2026.5,278.09269999999987
